name,collection,module,material,verts,faces,x_min_mm,x_max_mm,y_min_mm,y_max_mm,z_min_mm,z_max_mm,spool,spin
engine_r_hydraulic_pump,09 Engine starboard,engines,steel,128,128,10820.0,10910.0,762.0,838.0,-642.0,-566.0,,
engine_r_igniters,09 Engine starboard,engines,steel,128,72,11839.0,11865.0,367.0,1233.0,166.3,255.3,,
engine_r_ignition_exciters,09 Engine starboard,engines,casing,1008,774,11530.0,12500.0,349.5,1250.5,198.2,392.9,,
engine_r_ignition_leads,09 Engine starboard,engines,steel,1434,1360,11635.2,12856.9,351.4,1248.6,230.8,472.6,,
engine_r_inlet_case,09 Engine starboard,engines,casing,1600,1600,10200.0,10382.0,354.0,1246.0,-446.0,446.0,,
engine_r_intermediate_case,09 Engine starboard,engines,titanium,28800,28800,10815.0,12410.0,374.0,1226.0,-426.0,426.0,,
engine_r_line_clamps,09 Engine starboard,engines,steel,3072,1728,10961.4,13030.9,439.1,1160.9,-505.1,463.6,,
engine_r_lpt_disc,09 Engine starboard,engines,nickel,4000,4000,12331.5,12402.0,549.1,1050.9,-250.8,250.8,lp,1.0
engine_r_mixer,09 Engine starboard,engines,nickel_hot,8832,8832,12410.0,12590.0,385.5,1214.5,-414.5,414.5,,
engine_r_mode_valve,09 Engine starboard,engines,titanium,2400,2352,11008.0,11077.9,376.2,1223.8,-423.8,423.8,,
engine_r_mode_valve_actuators,09 Engine starboard,engines,steel,664,532,10920.0,11084.0,444.8,1155.2,300.5,355.2,,
engine_r_mount_aft_lug,09 Engine starboard,engines,steel,56,36,12495.0,12585.0,765.0,835.0,466.9,522.9,,
engine_r_mount_trunnions,09 Engine starboard,engines,steel,224,120,10836.0,10924.0,320.0,1280.0,-44.0,44.0,,
engine_r_nozzle_actuators,09 Engine starboard,engines,steel,720,408,14316.0,14516.0,353.0,1247.0,-447.0,447.0,,
engine_r_nozzle_conv_flaps,09 Engine starboard,engines,cmc,3136,3072,14490.0,14670.0,358.0,1242.0,-442.0,442.0,,
engine_r_nozzle_conv_seals,09 Engine starboard,engines,cmc,2464,2432,14491.0,14670.0,378.2,1221.8,-421.8,421.8,,
engine_r_nozzle_div_flaps,09 Engine starboard,engines,cmc,3136,3072,14670.0,14890.0,434.9,1165.1,-365.1,365.1,,
engine_r_nozzle_div_links,09 Engine starboard,engines,steel,1152,672,14740.0,14800.0,398.5,1201.5,-401.5,401.5,,
engine_r_nozzle_div_seals,09 Engine starboard,engines,cmc,2464,2432,14671.0,14890.0,453.5,1146.5,-346.5,346.5,,
engine_r_nozzle_ext_flaps,09 Engine starboard,engines,inconel,4320,4288,14490.0,14890.0,330.0,1270.0,-470.0,470.0,,
engine_r_nozzle_hinges,09 Engine starboard,engines,steel,1344,768,14480.0,14680.0,327.2,1272.8,-472.8,472.8,,
engine_r_nozzle_static_ring,09 Engine starboard,engines,inconel,4520,4816,14390.0,14490.0,310.0,1290.0,-490.0,490.0,,
engine_r_nozzle_unison_ring,09 Engine starboard,engines,inconel,1024,864,14508.0,14524.0,350.0,1250.0,-450.0,450.0,,
engine_r_oil_lines,09 Engine starboard,engines,steel,414,382,10839.0,12260.9,794.0,806.0,-517.9,-107.0,,
engine_r_oil_tank,09 Engine starboard,engines,steel,362,396,11266.0,11450.0,744.0,856.0,-568.0,-456.0,,
engine_r_sensor_probes,09 Engine starboard,engines,steel,1736,980,11175.0,13025.0,551.7,1048.3,382.2,447.0,,
engine_r_service_struts,09 Engine starboard,engines,casing,840,728,12225.0,12315.0,338.0,1262.0,-462.0,462.0,,
engine_r_shaft_hp,09 Engine starboard,engines,steel,3328,3256,10860.0,12248.0,649.0,951.0,-151.0,151.0,hp,-1.0
engine_r_shaft_lp,09 Engine starboard,engines,steel,3520,3520,10400.0,12402.0,738.0,862.0,-62.0,62.0,lp,1.0
engine_r_spinner,09 Engine starboard,engines,titanium,4802,4960,10154.0,10382.0,672.0,928.0,-128.0,128.0,lp,1.0
engine_r_sump_front,09 Engine starboard,engines,steel,4160,4160,10609.0,10932.0,514.0,1086.0,-286.0,286.0,,
engine_r_sump_rear,09 Engine starboard,engines,steel,1920,1920,12224.0,12306.0,548.2,1051.8,-251.8,251.8,,
engine_r_swirlers,09 Engine starboard,engines,nickel_hot,5760,5472,11812.0,11838.0,479.5,1120.5,-325.0,325.0,,
engine_r_swivel_bearing_1,09 Engine starboard,engines,steel,1840,1540,13258.0,13282.0,290.0,1310.0,-510.0,510.0,,
engine_r_swivel_bearing_2,09 Engine starboard,engines,steel,1840,1540,13355.4,13784.6,329.2,1270.8,-510.0,510.0,,
engine_r_swivel_bearing_3,09 Engine starboard,engines,steel,1840,1540,13875.4,14304.6,329.2,1270.8,-510.0,510.0,,
engine_r_swivel_drive_1,09 Engine starboard,engines,steel,380,358,13146.0,13281.0,382.8,485.4,-417.2,-314.6,,
engine_r_swivel_drive_2,09 Engine starboard,engines,steel,380,358,13641.9,13806.0,224.9,377.7,-34.0,34.0,,
engine_r_swivel_drive_3,09 Engine starboard,engines,steel,380,358,14161.9,14326.0,1222.3,1375.1,-34.0,34.0,,
engine_r_swivel_duct_aft,09 Engine starboard,engines,inconel,14160,14752,13892.7,14390.0,310.0,1290.0,-490.0,490.0,,
engine_r_swivel_duct_fwd,09 Engine starboard,engines,inconel,14160,14752,13270.0,13767.3,310.0,1290.0,-490.0,490.0,,
engine_r_swivel_duct_mid,09 Engine starboard,engines,inconel,14160,14752,13372.7,14287.3,321.0,1279.0,-490.0,490.0,,
engine_r_swivel_fixed_ring,09 Engine starboard,engines,inconel,11080,11312,13240.0,13270.0,310.0,1290.0,-490.0,490.0,,
engine_r_swivel_rotary_union,09 Engine starboard,engines,steel,68,46,13160.0,13226.0,1105.9,1189.7,-389.7,-305.9,,
engine_r_tailcone,09 Engine starboard,engines,cmc,5122,5280,12406.0,12950.0,553.0,1047.0,-247.0,247.0,,
engine_r_tms_hx,09 Engine starboard,engines,copper,3552,3360,11864.0,12150.0,340.4,1259.6,-459.6,459.6,,
engine_r_towershaft,09 Engine starboard,engines,steel,136,118,10858.0,10902.0,778.0,822.0,-502.0,-142.0,,
engine_r_vanes_cdfs,09 Engine starboard,engines,titanium,16920,15480,11017.4,11085.0,418.0,1182.0,-382.0,382.0,,
engine_r_vanes_fan_s1,09 Engine starboard,engines,titanium,12880,11920,10537.5,10620.5,369.9,1230.1,-430.1,430.1,,
engine_r_vanes_fan_s2,09 Engine starboard,engines,titanium,15688,14440,10729.5,10815.0,384.7,1215.3,-415.3,415.3,,
engine_r_vanes_hpc_igv,09 Engine starboard,engines,nickel,16056,15000,11085.0,11209.1,478.0,1122.0,-322.0,322.0,,
engine_r_vanes_hpc_s1,09 Engine starboard,engines,nickel,14556,13260,11279.7,11334.3,481.5,1118.5,-318.3,318.3,,
engine_r_vanes_hpc_s2,09 Engine starboard,engines,nickel,15640,14200,11395.3,11444.7,484.0,1116.0,-316.0,316.0,,
engine_r_vanes_hpc_s3,09 Engine starboard,engines,nickel,17044,15460,11498.9,11543.0,486.2,1113.8,-313.6,313.6,,
engine_r_vanes_hpc_s4,09 Engine starboard,engines,nickel,18596,16820,11589.5,11628.0,487.3,1112.7,-312.6,312.6,,
engine_r_vanes_hpc_s5,09 Engine starboard,engines,nickel,21872,19760,11668.4,11699.6,488.3,1111.7,-311.7,311.7,,
engine_r_vanes_hpt_ngv,09 Engine starboard,engines,cmc,41464,25264,12076.0,12141.0,470.8,1129.2,-329.2,329.2,,
engine_r_vanes_mtf,09 Engine starboard,engines,nickel_hot,12064,11680,12210.5,12328.5,442.0,1158.0,-358.0,358.0,,
engine_r_vsv_actuation,09 Engine starboard,engines,steel,4472,3514,11178.6,11421.2,464.0,1136.0,-336.0,336.0,,
fin_l,02 Flying surfaces,surfaces,skin,1739,1456,10550.0,13420.0,-2482.0,-1333.3,354.8,2128.3,,
fin_r,02 Flying surfaces,surfaces,skin,1739,1456,10550.0,13420.0,1333.3,2482.0,354.8,2128.3,,
flaperon_in_l,02 Flying surfaces,surfaces,skin_dark,897,796,11435.8,12828.4,-4298.0,-2302.0,-72.8,123.9,,
flaperon_in_r,02 Flying surfaces,surfaces,skin_dark,897,796,11435.8,12828.4,2302.0,4298.0,-72.8,123.9,,
flaperon_out_l,02 Flying surfaces,surfaces,skin_dark,897,796,11827.4,12705.0,-6298.0,-4302.0,-91.5,48.0,,
flaperon_out_r,02 Flying surfaces,surfaces,skin_dark,897,796,11827.4,12705.0,4302.0,6298.0,-91.5,48.0,,
formation_light_l,07 Structure,details,lens_formation,136,132,2746.2,12450.5,-2080.9,-603.7,342.5,1442.1,,
formation_light_r,07 Structure,details,lens_formation,136,132,2746.2,12450.5,603.7,2080.9,342.5,1442.1,,
frame_engine_aft,07 Structure,structure,structure,1288,1284,12520.0,12560.0,-1308.7,1308.7,-787.3,637.3,,
frame_engine_fwd,07 Structure,structure,structure,1288,1284,10860.0,10900.0,-1707.1,1707.1,-772.8,646.2,,
fuselage_skin,01 Airframe,fuselage,skin,37059,35639,0.0,13240.0,-2360.0,2360.0,-800.0,1016.4,,
gear_bay_main_l,06 Landing gear,gear,steel,212,204,9062.0,9938.0,-1728.0,-1310.0,-618.0,180.0,,
gear_bay_main_r,06 Landing gear,gear,steel,212,204,9062.0,9938.0,1310.0,1728.0,-618.0,180.0,,
gear_bay_nose,06 Landing gear,gear,steel,432,414,1742.0,3448.0,-213.0,213.0,-402.9,343.0,,
gear_door_main_l,06 Landing gear,gear,skin_dark,850,848,9071.5,9929.6,-1625.9,-1309.2,-1371.3,-629.8,,
gear_door_main_r,06 Landing gear,gear,skin_dark,850,848,9071.5,9929.6,1309.2,1625.9,-1371.3,-629.8,,
gear_door_nose_l,06 Landing gear,gear,skin_dark,3250,3248,1740.2,3439.4,-244.4,-198.0,-601.7,-236.1,,
gear_door_nose_r,06 Landing gear,gear,skin_dark,3250,3248,1740.2,3439.4,198.0,244.4,-601.7,-236.1,,
gear_leg_door_main_l,06 Landing gear,gear,skin_dark,498,476,9383.0,9617.0,-3220.4,-3023.4,-864.6,-108.7,,
gear_leg_door_main_r,06 Landing gear,gear,skin_dark,498,476,9383.0,9617.0,3023.4,3220.4,-864.6,-108.7,,
gear_main_l,06 Landing gear,gear,steel,406,304,9340.0,9660.0,-3135.0,-2801.0,-1220.0,158.0,,
gear_main_r,06 Landing gear,gear,steel,406,304,9340.0,9660.0,2801.0,3135.0,-1220.0,158.0,,
gear_nose,06 Landing gear,gear,steel,518,410,3189.6,3416.0,-209.0,209.0,-1304.0,66.0,,
gear_pivot_door_main_l,06 Landing gear,gear,skin_dark,498,476,9375.0,9399.5,-3004.9,-2766.2,-317.7,-73.6,,
gear_pivot_door_main_r,06 Landing gear,gear,skin_dark,498,476,9375.0,9399.5,2766.2,3004.9,-317.7,-73.6,,
gun,05 Weapons bay,details,steel,472,260,6419.4,8150.0,975.0,1125.0,429.7,627.9,,
intake_duct_l,03 Intakes,intakes,skin,7872,7872,4731.3,10199.9,-1643.8,-353.0,-743.1,447.0,,
intake_duct_r,03 Intakes,intakes,skin,7872,7872,4731.3,10199.9,353.0,1643.8,-743.1,447.0,,
irst_fairing,01 Airframe,details,skin,1600,1538,2560.0,3000.0,-113.3,113.3,601.2,783.3,,
irst_window,01 Airframe,details,sensor_glass,1200,1200,2488.0,2632.0,-72.0,72.0,609.0,753.0,,
keel,07 Structure,structure,structure,84,82,10550.0,13200.0,-15.0,15.0,-581.2,525.9,,
launchers,05 Weapons bay,bay,steel,96,72,6375.0,7875.0,-325.0,325.0,-232.0,-149.0,,
le_flap_l,02 Flying surfaces,surfaces,skin_dark,1681,1578,6490.9,11223.0,-6398.0,-2302.0,-139.6,149.3,,
le_flap_r,02 Flying surfaces,surfaces,skin_dark,1681,1578,6490.9,11223.0,2302.0,6398.0,-139.6,149.3,,
missiles,05 Weapons bay,bay,missile,1704,1728,5325.0,8975.0,-391.9,391.9,-411.9,-228.1,,
nav_light_l,01 Airframe,details,lens_red,64,34,11604.3,11704.3,-6618.0,-6594.0,-131.5,-107.5,,
nav_light_r,01 Airframe,details,lens_green,64,34,11604.3,11704.3,6594.0,6618.0,-131.5,-107.5,,
panel_seams,01 Airframe,details,seam,2768,2704,1297.5,12702.5,-1182.5,1182.5,-800.5,1009.8,,
radar_array,07 Structure,structure,radar,224,210,1157.6,1502.0,-250.0,250.0,-161.1,321.1,,
radar_bulkhead,07 Structure,structure,radar,192,98,1500.0,1512.0,-475.3,475.3,-223.4,457.3,,
rudder_l,02 Flying surfaces,surfaces,skin_dark,1091,990,12377.0,13386.0,-2389.3,-1485.5,574.1,1984.6,,
rudder_r,02 Flying surfaces,surfaces,skin_dark,1091,990,12377.0,13386.0,1485.5,2389.3,574.1,1984.6,,
seat,04 Cockpit,cockpit,seat,64,42,4110.0,4989.0,-260.0,260.0,116.1,1055.0,,
static_wicks_l,01 Airframe,details,rubber,100,60,12556.1,13498.9,-6563.2,-2410.3,-91.9,2095.9,,
static_wicks_r,01 Airframe,details,rubber,100,60,12556.1,13498.9,2410.3,6563.2,-91.9,2095.9,,
tail_light_l,01 Airframe,details,lens_white,64,34,13225.8,13281.8,-2473.2,-2453.2,2103.4,2123.4,,
tail_light_r,01 Airframe,details,lens_white,64,34,13225.8,13281.8,2453.2,2473.2,2103.4,2123.4,,
tyre_main_l,06 Landing gear,gear,rubber,2752,2752,9150.0,9850.0,-3083.0,-2853.0,-1540.0,-840.0,,
tyre_main_r,06 Landing gear,gear,rubber,2752,2752,9150.0,9850.0,2853.0,3083.0,-1540.0,-840.0,,
tyres_nose,06 Landing gear,gear,rubber,5504,5504,3090.0,3610.0,-190.0,190.0,-1540.0,-1020.0,,
wheel_main_l,06 Landing gear,gear,wheel,1032,924,9297.5,9702.5,-3077.3,-2858.8,-1392.5,-987.5,,
wheel_main_r,06 Landing gear,gear,wheel,1032,924,9297.5,9702.5,2858.8,3077.3,-1392.5,-987.5,,
wheels_nose,06 Landing gear,gear,wheel,1856,1736,3197.0,3503.0,-186.3,186.3,-1433.0,-1127.0,,
wing_l,02 Flying surfaces,surfaces,skin,3267,2854,5844.6,12864.1,-6600.0,-1720.0,-141.4,257.1,,
wing_r,02 Flying surfaces,surfaces,skin,3267,2854,5844.6,12864.1,1720.0,6600.0,-141.4,257.1,,
